"Name","Salary"
"Anthony DeAngelo ",1675000
"Blake Lizotte ",1675000
"Cameron York ",1600000
"Pius Suter ",1600000
"Rasmus Sandin ",1600000
"Jack McBain ",1599999
"Ryan McLeod ",1545000
"Alex Nedeljkovic ",1500000
"Eetu Luostarinen ",1500000
"James Reimer ",1500000
"Kailer Yamamoto ",1500000
"Matt Martin ",1500000
NA,NA
"Max Jones ",1500000
"Pheonix Copley ",1500000
"Timothy Liljegren ",1500000
"Nicolas Hague ",1482450
"Eeli Tolvanen ",1450000
"Andrei Kuzmenko ",1429350
"Fabian Zetterlund ",1400000
"Jordan Harris ",1400000
"Keegan Kolesar ",1400000
"Michael Mcleod ",1400000
"Ryan Poehling ",1400000
"Ethan Bear ",1375000
"Nathan Bastian ",1350000
"Ryan Reaves ",1350000
"Jake Allen ",1337179
"Jake Guentzel ",1319388
"Anthony Mantha ",1313092
"Adam Henrique ",1311371
"Carl Grundstrom ",1300000
"Dylan Samberg ",1300000
NA,NA
"Joshua Brown ",1300000
"Kevin Rooney ",1300000
"Morgan Barron ",1300000
"Nic Dowd ",1300000
"Evgeny Kuznetsov ",1287974
"Alexei Toropchenko ",1250000
"Jarred Tinordi ",1250000
"Matthew Benning ",1250000
"Nicolas Aube-Kubel ",1225000
"Jamie Drysdale ",1216242
"Brendan Smith ",1200000
"Colin Blackwell ",1200000
"Joey Daccord ",1200000
"Jon Merrill ",1200000
"Rafael Harvey-Pinard ",1200000
"Eric Robinson ",1192734
"Chris Tanev ",1178000
"Sam Lafferty ",1150000
"Steven Lorentz ",1150000
"Jason Zucker ",1137709
NA,NA
"Alexander Wennberg ",1125654
"Vladimir Tarasenko ",1125654
"Christian Fischer ",1125000
"Nick Perbix ",1125000
"Anthony Stolarz ",1100000
"Charlie Lindgren ",1100000
"Conor Timmins ",1100000
"Filip Zadina ",1100000
"Kyle Burroughs ",1100000
"Marc Staal ",1100000
"Mathieu Olivier ",1100000
"Nick Cousins ",1100000
"Ross Johnston ",1100000
"Travis Hamonic ",1100000
"Noah Hanifin ",1088472
"Daniil Tarasov ",1050000
"Kevin Shattenkirk ",1050000
"Kyle Okposo ",1036649
"Andreas Englund ",1000000
"Cameron Talbot ",1000000
NA,NA
"Craig Smith ",1000000
"Curtis Lazar ",1000000
"Dmitry Kulikov ",1000000
"James Van Riemsdyk ",1000000
"Juuso Valimaki ",1000000
"Kevin Stenlund ",1000000
"Logan O'Connor ",1000000
"Logan Stanley ",1000000
"Mattias Janmark ",1000000
"Milan Lucic ",1000000
"Nils Hoglander ",1000000
"Samuel Blais ",1000000
"Samuel Montembeault ",1000000
"Scott Wedgewood ",1000000
"Shea Weber ",1000000
"Tomas Nosek ",1000000
"Tomas Tatar ",981625
"Justin Danforth ",975000
"Adam Fantilli ",950000
"Connor Bedard ",950000
NA,NA
"Juraj Slafkovsky ",950000
"Kevin Korchinski ",950000
"Leo Carlsson ",950000
"Logan Cooley ",950000
"Pavel Mintyukov ",950000
"Zach Benson ",950000
"Alexander Holtz ",925000
"Anton Lundell ",925000
"Arvid Söderblom ",925000
"Braden Schneider ",925000
"Brock Faber ",925000
"Cole Sillinger ",925000
"Drew O'Connor ",925000
"Jack Drury ",925000
"Jackson Lacombe ",925000
"Jake Sanderson ",925000
"Janis Moser ",925000
"John-Jason Peterka ",925000
"Joshua Mahura ",925000
"Kirill Marchenko ",925000
NA,NA
"Lucas Raymond ",925000
"Luke Hughes ",925000
"Mason Mctavish ",925000
"Matthew Beniers ",925000
"Matthew Knies ",925000
"Nils Lundkvist ",925000
"Owen Power ",925000
"Ukko-Pekka Luukkonen ",925000
"William Eklund ",925000
"Wyatt Johnston ",925000
