"Name","Salary","Tm","Pos","GP","gf_60","ga_60","avg_shift","even_toi_sec","pp_toi_sec","sh_toi_sec"
"Brad Marchand",5000000,"BOS","LW",82,8.4,5.4,44,840,198,106
"Brent Burns",5000000,"CAR","D/RW",82,10.9,5.7,36,994,157,138
"Carter Verhaeghe",5000000,"FLA","C",76,10.3,45,49,882,194,1
"Chris Kreider",5000000,"NYR","LW",82,12.3,5.1,32,821,211,94
"Esa Lindell",5000000,"DAL","D",82,7.2,8.1,50,1009,5,212
"Josh Manson",5000000,"COL","D",76,0,6.8,40,945,2,118
"Kyle Palmieri",5000000,"NYI","RW",82,9.3,6.2,41,832,165,35
"Mike Hoffman",5000000,"SJS","C/LW",66,7,0,48,729,94,0
"Nick Jensen",5000000,"WSH","D",78,0,7.8,48,1007,3,166
"Ryan O'Reilly",5000000,"NSH","C",82,9.7,6.4,51,877,199,109
"Ryan Strome",5000000,"ANA","C",79,7.2,22.8,56,795,144,7
"Samuel Girard",5000000,"COL","D",59,2.5,7.3,44,998,48,116
"T.J. Oshie",5000000,"WSH","C/RW",52,6.3,0,43,831,175,5
"Tim Stützle",5000000,"OTT","LW",75,6.7,8,47,1018,206,41
"Tyson Barrie",5000000,"NSH","D",41,7.9,0,43,924,167,7
"Nate Schmidt",4950000,"WPG","D",63,5,12.7,39,872,91,44
"Joel Armia",4800000,"MTL","RW",66,3,7.6,43,742,17,172
"Mason Marchment",4800000,"DAL","F",81,8.4,0,38,817,84,1
"Alex Tuch",4750000,"BUF","RW",75,7.6,6.4,33,914,158,97
"Tyler Johnson",4750000,"CHI","C",67,8.1,0,40,770,159,2
"Victor Olofsson",4750000,"BUF","RW",51,3.4,0,42,610,83,0
"Lawson Crouse",4600000,"ARI","LW",81,6.6,6.9,42,786,94,128
"Rasmus Andersson",4550000,"CGY","D",78,4.3,7.4,36,1152,140,136
"Adam Lowry",4500000,"WPG","LW",81,6.2,8.4,28,810,28,126
"Charlie Coyle",4500000,"BOS","C/RW",82,8,7.7,38,826,109,147
"Cody Ceci",4500000,"EDM","D",79,10.8,7.6,59,1041,4,155
"Filip Chytil",4500000,"NYR","C",10,3.9,0,48,858,93,4
"Jean-Gabriel Pageau",4500000,"NYI","C",82,3.8,9.2,40,749,91,114
"Jesperi Kotkaniemi",4500000,"CAR","C",79,8.1,5.6,32,702,67,8
"Nick Leddy",4500000,"STL","D",82,5.5,7.8,39,1176,7,157
"Nikita Zaitsev",4500000,"CHI","D",38,7.5,12.1,39,886,37,31
"Trevor Moore",4500000,"LAK","LW",82,6.7,7.5,52,867,111,99
"Alex Iafallo",4400000,"WPG","C",82,6.4,8.2,44,735,102,80
"Ryan Suter",4300000,"DAL","D",82,8.5,5.1,42,1053,5,77
"Mattias Samuelsson",4285714,"BUF","D",41,0,6.8,45,1060,2,167
"Andreas Athanasiou",4250000,"CHI","C",28,4,0,47,721,64,0
"Joel Farabee",4250000,"PHI","LW",82,3.5,26.8,33,831,137,3
"Jonas Siegenthaler",4250000,"NJD","D",57,0,10.4,37,1041,3,115
"Robby Fabbri",4250000,"DET","C",68,8.6,0,57,647,122,2
"Tanner Pearson",4250000,"MTL","LW",54,4.6,8.3,38,647,72,56
"Viktor Arvidsson",4250000,"LAK","LW",18,10.3,0,43,806,193,1
"David Savard",4200000,"MTL","D",60,0,8.8,62,1011,5,197
"Matt Roy",4200000,"LAK","D",81,4.1,6,53,1071,10,170
"John Klingberg",4150000,"TOR","D",14,8.8,0,59,1029,203,0
"Shayne Gostisbehere",4125000,"DET","D",81,9.3,2.2,44,924,201,19
"Kirby Dach",4100000,"MTL","C",2,8.8,0,48,568,205,7
"Marcus Foligno",4100000,"MIN","LW",55,0,8.7,45,710,30,127
"Ross Colton",4100000,"COL","C",80,4.2,0,33,730,85,7
"Marcus Pettersson",4025175,"PIT","D",82,0,6,47,1183,16,159
"Brett Pesce",4025000,"CAR","D",70,6.4,4.4,33,1069,8,140
"Artem Zub",4000000,"OTT","D",69,0,8.9,50,1084,7,168
"Brenden Dillon",4000000,"WPG","D",77,0,6.3,36,982,8,133
"Carson Soucy",4000000,"VAN","D",40,7.8,3.3,34,918,22,107
"Erik Gudbranson",4000000,"CBJ","D",78,0,9.3,47,998,2,178
"Jake DeBrusk",4000000,"BOS","LW",80,8,6.5,38,812,100,96
"Jake McCabe",4000000,"TOR","D",73,5.8,6,46,1082,25,131
"Nick Foligno",4000000,"CHI","LW",74,8.6,9.8,39,833,153,79
"Nino Niederreiter",4000000,"WPG","RW",77,4.7,0,38,788,108,0
"Noah Dobson",4000000,"NYI","D",79,8.9,9.6,40,1225,179,66
"Radek Faksa",4000000,"DAL","C",74,0,8.2,33,624,2,124
"Radko Gudas",4000000,"ANA","D",66,0,9.4,61,985,4,180
"Ryan Lindgren",4000000,"NYR","D",76,0,5.2,48,996,1,163
"Erik Haula",3900000,"NJD","LW",76,3.5,8.3,42,825,67,119
"Scott Laughton",3875000,"PHI","C",82,4.4,8.2,46,757,80,101
"Boone Jenner",3750000,"CBJ","C",58,4.1,6,48,938,164,102
"Jordan Eberle",3750000,"SEA","RW",78,6.7,29.3,46,887,157,1
"Frank Vatrano",3650000,"ANA","LW",82,7.2,10.7,42,835,146,118
"Michael Anderson",3600000,"LAK","D",74,0,4.5,67,1097,1,139
"Alex Newhook",3500000,"MTL","C",55,5.8,0,46,832,181,1
"Brandon Tanev",3500000,"SEA","LW",66,0,7.1,44,717,3,154
"Colton Sissons",3500000,"NSH","C",81,8.3,12.9,36,746,123,124
"Derek Forbort",3500000,"BOS","D",35,0,7.4,34,885,1,180
"Evan Bouchard",3500000,"EDM","D",81,12.2,0,62,1153,206,19
"Gustav Forsling",3500000,"FLA","D",79,5.3,6.7,39,1089,34,204
"Jake Walman",3500000,"DET","D",63,5.6,6.6,33,998,40,146
"Joe Pavelski",3500000,"DAL","C",82,11,0,40,845,159,3
"Jonathan Marchessault",3500000,"VEG","C",82,7.4,0,45,860,212,0
"Jordan Greenway",3500000,"BUF","LW",67,3.7,6.5,46,816,43,174
"Nicolas Roy",3500000,"VEG","C",70,5.8,8.8,41,747,97,81
"Scott Mayfield",3500000,"NYI","D",41,0,9.7,42,970,1,154
"Jordan Staal",3450000,"CAR","C",80,5.6,6.4,40,787,8,126
"Justin Holl",3400000,"DET","D",38,0,4.6,39,841,2,61
"Connor Clifton",3333333,"BUF","D",79,0,8.3,42,870,1,121
"Brian Dumoulin",3300000,"SEA","D",80,0,7.4,42,929,7,84
"Jason Dickinson",3250000,"CHI","C",82,4.8,9.3,40,825,46,123
"Mario Ferraro",3250000,"SJS","D",78,2.1,9.9,55,1163,21,187
"Miles Wood",3250000,"COL","LW",74,4.2,3.3,34,736,11,73
"Sean Kuraly",3250000,"CBJ","C",62,0,9.6,29,699,3,121
"Warren Foegele",3250000,"EDM","LW",82,2.7,3.3,41,753,32,52
"Chandler Stephenson",3225000,"VEG","C",75,6.4,8.5,55,840,172,95
"Kasperi Kapanen",3200000,"STL","RW",73,0,9.6,36,758,32,71
"Gustav Nyquist",3185000,"NSH","RW",81,9.3,3.6,47,846,181,36
"Yegor Sharangovich",3100000,"CGY","C",82,8.7,6.3,38,807,140,90
"K'Andre Miller",3098000,"NYR","D",80,3.9,6.4,45,1159,22,111
"Tanner Jeannot",3045000,"TBL","F",55,7.7,300,47,669,51,0
"Alexander Kerfoot",3000000,"ARI","C",82,7.2,9.2,43,779,109,157
"Brett Kulak",3000000,"EDM","D",82,17.7,6.5,40,864,4,53
"Evan Rodrigues",3000000,"FLA","C",80,5.3,11.1,57,795,110,4
"Ian Cole",3000000,"VAN","D",78,0,9.8,38,956,5,159
"Jeff Carter",3000000,"PIT","C",72,3.5,6.9,41,566,100,86
"Justin Schultz",3000000,"SEA","D",70,6.2,28.3,41,844,141,1
"Luke Kunin",3000000,"SJS","C",77,5.1,8.9,60,774,54,115
"Marco Scandella",3000000,"STL","D",65,0,6.3,34,685,0,61
"Matias Maccelli",3000000,"ARI","LW",82,8.2,12,46,858,112,3
"Matt Duchene",3000000,"DAL","C",80,8.3,4.3,40,871,124,10
"Max Domi",3000000,"TOR","LW",80,5.8,0,46,749,77,0
"Niko Mikkola",3000000,"FLA","D",82,0,7,39,1053,3,144
"Pierre Engvall",3000000,"NYI","LW",74,4.6,0,41,834,85,0
"Sidney Crosby",3000000,"PIT","C",82,6.9,32.2,43,984,215,5
"Zach Whitecloud",3000000,"VEG","D",61,0,7.8,54,959,4,91
"Jake Bean",2900000,"CBJ","D",72,0,8.4,38,911,2,65
"Andrew Peeke",2750000,"TOT","D",38,0,4.6,48,886,0,96
"Brayden McNabb",2750000,"VEG","D",82,14.1,7.2,52,1018,2,140
"Brock McGinn",2750000,"ANA","LW",24,0,1.9,41,582,3,78
"Luke Schenn",2750000,"NSH","D",63,0,7.8,40,814,1,94
"Patrick Kane",2750000,"DET","RW",50,9.3,0,41,916,185,0
"Nikita Zadorov",2748760,"TOT","D",75,0,7,32,944,7,94
"Garnet Hathaway",2700000,"PHI","RW",82,0,4.5,32,654,5,88
"Jordan Martinook",2700000,"CAR","LW",82,0,5.2,39,787,6,84
"Mathieu Joseph",2700000,"OTT","RW",72,4.5,10.4,34,837,44,105
"Noah Cates",2625000,"PHI","LW",59,0,6.7,47,694,42,90
"Adam Boqvist",2600000,"CBJ","D",35,4.1,0,46,968,124,3
"Henri Jokiharju",2600000,"BUF","D",74,0,2.7,48,1067,16,54
"Alexander Barabanov",2500000,"SJS","F",46,4,0,50,835,116,0
"Alexander Romanov",2500000,"NYI","D",81,0,13,48,1127,2,119
"Casey Cizikas",2500000,"NYI","C",70,7,12.7,33,712,14,109
"Cody Glass",2500000,"NSH","C",41,3.1,19.8,50,660,140,4
"Conor Sheary",2500000,"TBL","LW",57,5,12.6,43,628,12,24
"Dante Fabbro",2500000,"NSH","D",56,0,5.8,55,896,6,77
"Jacob Middleton",2500000,"MIN","D",80,0,7.2,48,1049,2,136
"Jan Rutta",2500000,"SJS","D",69,0,7.6,58,998,7,177
"Noel Acciari",2500000,"PIT","C",55,0,7.7,39,637,3,136
"Oliver Kylington",2500000,"CGY","D",33,0,12.9,43,990,10,33
"Travis Boyd",2500000,"ARI","C",16,0,0,43,568,5,3
"William Borgen",2500000,"SEA","D",82,0,6.7,46,968,1,84
"Zemgus Girgensons",2500000,"BUF","C",63,0,6.1,37,651,3,56
"Lars Eller",2450000,"PIT","C",82,4.5,6.7,35,739,87,130
"Jesper Fast",2400000,"CAR","RW",73,0,1.5,35,686,5,63
"Kaapo Kakko",2400000,"NYR","RW",61,3.5,0,42,728,67,0
"Sonny Milano",2350000,"WSH","LW",49,6.5,0,39,693,56,0
"Trent Frederic",2300000,"BOS","C",82,8.4,7.3,51,768,20,36
"Evgenii Dadonov",2250000,"DAL","RW",51,5.7,0,37,740,49,0
"Mason Appleton",2250000,"WPG","C",82,21.2,7.5,29,863,6,93
"Oliver Ekman-Larsson",2250000,"FLA","D",80,8.5,6.7,53,899,116,87
"Philipp Kurashev",2250000,"CHI","C",75,7.6,2.6,66,945,176,18
"Brett Howden",2150000,"VEG","C",72,12.4,6.5,48,712,3,76
"Barrett Hayton",2130000,"ARI","C",33,10.9,9.7,45,803,150,67
"Nick Bjugstad",2100000,"ARI","C",76,6.3,8.4,41,820,97,129
"Brandon Hagel",2050000,"TBL","LW",82,9.9,4.7,39,963,71,120
"Alex Goligoski",2000000,"MIN","D",36,4,0,47,834,49,4
"Alexis Lafrenière",2000000,"NYR","LW",82,5.2,0,46,958,76,1
"Daniel Sprong",2000000,"DET","RW",76,8.8,0,55,611,108,0
"Jeremy Lauzon",2000000,"NSH","D",79,13.3,9.8,43,969,3,143
"Marcus Johansson",2000000,"MIN","C/W",78,6.1,13.3,34,819,112,20
"Max Pacioretty",2000000,"WSH","LW",47,9.3,0,32,742,123,0
"Morgan Geekie",2000000,"BOS","C",76,9.4,0,52,811,110,2
"Nico Sturm",2000000,"SJS","C",63,5,7.5,35,747,11,121
"Nicolas Deslauriers",2000000,"PHI","LW",60,0,0,33,484,4,0
"Ryan Donato",2000000,"CHI","C",78,2,7.5,51,723,92,24
"Ryan Hartman",2000000,"MIN","RW",74,7.1,8.5,55,818,109,63
